image,blood_group
A+\cluster_0_2452.BMP,A+
A+\cluster_0_2456.BMP,A+
A+\cluster_0_2464.BMP,A+
A+\cluster_0_2469.BMP,A+
A+\cluster_0_2470.BMP,A+
A+\cluster_0_2476.BMP,A+
A+\cluster_0_2522.BMP,A+
A+\cluster_0_2535.BMP,A+
A+\cluster_0_2543.BMP,A+
A+\cluster_0_2553.BMP,A+
A+\cluster_0_2582.BMP,A+
A+\cluster_0_2598.BMP,A+
A+\cluster_0_26.BMP,A+
A+\cluster_0_2601.BMP,A+
A+\cluster_0_2603.BMP,A+
A+\cluster_0_2609.BMP,A+
A+\cluster_0_262.BMP,A+
A+\cluster_0_2640.BMP,A+
A+\cluster_0_2642.BMP,A+
A+\cluster_0_2670.BMP,A+
A+\cluster_0_2672.BMP,A+
A+\cluster_0_2678.BMP,A+
A+\cluster_0_2679.BMP,A+
A+\cluster_0_2693.BMP,A+
A+\cluster_0_271.BMP,A+
A+\cluster_0_2716.BMP,A+
A+\cluster_0_2719.BMP,A+
A+\cluster_0_273.BMP,A+
A+\cluster_0_2737.BMP,A+
A+\cluster_0_2782.BMP,A+
A+\cluster_0_2784.BMP,A+
A+\cluster_0_2812.BMP,A+
A+\cluster_0_2821.BMP,A+
A+\cluster_0_2849.BMP,A+
A+\cluster_0_2860.BMP,A+
A+\cluster_0_2871.BMP,A+
A+\cluster_0_2872.BMP,A+
A+\cluster_0_2895.BMP,A+
A+\cluster_0_2902.BMP,A+
A+\cluster_0_291.BMP,A+
A+\cluster_0_2913.BMP,A+
A+\cluster_0_2922.BMP,A+
A+\cluster_0_2927.BMP,A+
A+\cluster_0_2930.BMP,A+
A+\cluster_0_2951.BMP,A+
A+\cluster_0_2959.BMP,A+
A+\cluster_0_2970.BMP,A+
A+\cluster_0_2983.BMP,A+
A+\cluster_0_2984.BMP,A+
A+\cluster_0_3006.BMP,A+
A+\cluster_0_3013.BMP,A+
A+\cluster_0_3028.BMP,A+
A+\cluster_0_303.BMP,A+
A+\cluster_0_3044.BMP,A+
A+\cluster_0_3056.BMP,A+
A+\cluster_0_3064.BMP,A+
A+\cluster_0_3067.BMP,A+
A+\cluster_0_3085.BMP,A+
A+\cluster_0_3089.BMP,A+
A+\cluster_0_3092.BMP,A+
A+\cluster_0_3100.BMP,A+
A+\cluster_0_3102.BMP,A+
A+\cluster_0_3104.BMP,A+
A+\cluster_0_3109.BMP,A+
A+\cluster_0_3117.BMP,A+
A+\cluster_0_3127.BMP,A+
A+\cluster_0_3134.BMP,A+
A+\cluster_0_3136.BMP,A+
A+\cluster_0_3152.BMP,A+
A+\cluster_0_3163.BMP,A+
A+\cluster_0_3179.BMP,A+
A+\cluster_0_3187.BMP,A+
A+\cluster_0_3189.BMP,A+
A+\cluster_0_3198.BMP,A+
A+\cluster_0_3199.BMP,A+
A+\cluster_0_32.BMP,A+
A+\cluster_0_320.BMP,A+
A+\cluster_0_3207.BMP,A+
A+\cluster_0_3209.BMP,A+
A+\cluster_0_3256.BMP,A+
A+\cluster_0_3261.BMP,A+
A+\cluster_0_3263.BMP,A+
A+\cluster_0_3270.BMP,A+
A+\cluster_0_3274.BMP,A+
A+\cluster_0_3275.BMP,A+
A+\cluster_0_3284.BMP,A+
A+\cluster_0_3289.BMP,A+
A+\cluster_0_3291.BMP,A+
A+\cluster_0_3293.BMP,A+
A+\cluster_0_3295.BMP,A+
A+\cluster_0_3299.BMP,A+
A+\cluster_0_3321.BMP,A+
A+\cluster_0_3323.BMP,A+
A+\cluster_0_3331.BMP,A+
A+\cluster_0_3334.BMP,A+
A+\cluster_0_3338.BMP,A+
A+\cluster_0_3339.BMP,A+
A+\cluster_0_3359.BMP,A+
A+\cluster_0_3360.BMP,A+
A+\cluster_0_3371.BMP,A+
A+\cluster_0_339.BMP,A+
A+\cluster_0_3395.BMP,A+
A+\cluster_0_3400.BMP,A+
A+\cluster_0_3403.BMP,A+
A+\cluster_0_3407.BMP,A+
A+\cluster_0_3410.BMP,A+
A+\cluster_0_343.BMP,A+
A+\cluster_0_3433.BMP,A+
A+\cluster_0_3442.BMP,A+
A+\cluster_0_3445.BMP,A+
A+\cluster_0_3447.BMP,A+
A+\cluster_0_3450.BMP,A+
A+\cluster_0_3461.BMP,A+
A+\cluster_0_3472.BMP,A+
A+\cluster_0_3475.BMP,A+
A+\cluster_0_3485.BMP,A+
A+\cluster_0_3486.BMP,A+
A+\cluster_0_3493.BMP,A+
A+\cluster_0_3495.BMP,A+
A+\cluster_0_3500.BMP,A+
A+\cluster_0_3523.BMP,A+
A+\cluster_0_3526.BMP,A+
A+\cluster_0_3528.BMP,A+
A+\cluster_0_3532.BMP,A+
A+\cluster_0_354.BMP,A+
A+\cluster_0_3540.BMP,A+
A+\cluster_0_3544.BMP,A+
A+\cluster_0_3552.BMP,A+
A+\cluster_0_3556.BMP,A+
A+\cluster_0_3560.BMP,A+
A+\cluster_0_3564.BMP,A+
A+\cluster_0_3574.BMP,A+
A+\cluster_0_3590.BMP,A+
A+\cluster_0_3592.BMP,A+
A+\cluster_0_3599.BMP,A+
A+\cluster_0_3605.BMP,A+
A+\cluster_0_3606.BMP,A+
A+\cluster_0_3608.BMP,A+
A+\cluster_0_3618.BMP,A+
A+\cluster_0_3629.BMP,A+
A+\cluster_0_3647.BMP,A+
A+\cluster_0_3689.BMP,A+
A+\cluster_0_3699.BMP,A+
A+\cluster_0_3703.BMP,A+
A+\cluster_0_3708.BMP,A+
A+\cluster_0_3716.BMP,A+
A+\cluster_0_3741.BMP,A+
A+\cluster_0_3750.BMP,A+
A+\cluster_0_3756.BMP,A+
A+\cluster_0_3759.BMP,A+
A+\cluster_0_3761.BMP,A+
A+\cluster_0_3783.BMP,A+
A+\cluster_0_3785.BMP,A+
A+\cluster_0_3787.BMP,A+
A+\cluster_0_3798.BMP,A+
A+\cluster_0_381.BMP,A+
A+\cluster_0_3814.BMP,A+
A+\cluster_0_3822.BMP,A+
A+\cluster_0_3840.BMP,A+
A+\cluster_0_3868.BMP,A+
A+\cluster_0_3872.BMP,A+
A+\cluster_0_3873.BMP,A+
A+\cluster_0_3895.BMP,A+
A+\cluster_0_3918.BMP,A+
A+\cluster_0_3921.BMP,A+
A+\cluster_0_3931.BMP,A+
A+\cluster_0_3946.BMP,A+
A+\cluster_0_3960.BMP,A+
A+\cluster_0_3974.BMP,A+
A+\cluster_0_3986.BMP,A+
A+\cluster_0_400.BMP,A+
A+\cluster_0_4007.BMP,A+
A+\cluster_0_401.BMP,A+
A+\cluster_0_4018.BMP,A+
A+\cluster_0_4023.BMP,A+
A+\cluster_0_4024.BMP,A+
A+\cluster_0_4038.BMP,A+
A+\cluster_0_4047.BMP,A+
A+\cluster_0_405.BMP,A+
A+\cluster_0_4050.BMP,A+
A+\cluster_0_4055.BMP,A+
A+\cluster_0_4057.BMP,A+
A+\cluster_0_4071.BMP,A+
A+\cluster_0_4079.BMP,A+
A+\cluster_0_408.BMP,A+
A+\cluster_0_410.BMP,A+
A+\cluster_0_4110.BMP,A+
A+\cluster_0_4120.BMP,A+
A+\cluster_0_4138.BMP,A+
A+\cluster_0_4146.BMP,A+
A+\cluster_0_4175.BMP,A+
A+\cluster_0_4187.BMP,A+
A+\cluster_0_4189.BMP,A+
A+\cluster_0_4196.BMP,A+
A+\cluster_0_4210.BMP,A+
A+\cluster_0_4217.BMP,A+
A+\cluster_0_4233.BMP,A+
A+\cluster_0_4242.BMP,A+
A+\cluster_0_4248.BMP,A+
A+\cluster_0_4260.BMP,A+
A+\cluster_0_4264.BMP,A+
A+\cluster_0_4270.BMP,A+
A+\cluster_0_4280.BMP,A+
A+\cluster_0_4305.BMP,A+
A+\cluster_0_4322.BMP,A+
A+\cluster_0_4336.BMP,A+
A+\cluster_0_4338.BMP,A+
A+\cluster_0_4358.BMP,A+
A+\cluster_0_4381.BMP,A+
A+\cluster_0_4386.BMP,A+
A+\cluster_0_4396.BMP,A+
A+\cluster_0_4399.BMP,A+
A+\cluster_0_4401.BMP,A+
A+\cluster_0_4403.BMP,A+
A+\cluster_0_4411.BMP,A+
A+\cluster_0_4412.BMP,A+
A+\cluster_0_4417.BMP,A+
A+\cluster_0_4423.BMP,A+
A+\cluster_0_4432.BMP,A+
A+\cluster_0_4442.BMP,A+
A+\cluster_0_4468.BMP,A+
A+\cluster_0_4474.BMP,A+
A+\cluster_0_4484.BMP,A+
A+\cluster_0_4491.BMP,A+
A+\cluster_0_4493.BMP,A+
A+\cluster_0_4502.BMP,A+
A+\cluster_0_4528.BMP,A+
A+\cluster_0_4529.BMP,A+
A+\cluster_0_4543.BMP,A+
A+\cluster_0_4552.BMP,A+
A+\cluster_0_4562.BMP,A+
A+\cluster_0_4579.BMP,A+
A+\cluster_0_4580.BMP,A+
A+\cluster_0_4593.BMP,A+
A+\cluster_0_4598.BMP,A+
A+\cluster_0_4608.BMP,A+
A+\cluster_0_4617.BMP,A+
A+\cluster_0_4646.BMP,A+
A+\cluster_0_4649.BMP,A+
A+\cluster_0_4653.BMP,A+
A+\cluster_0_468.BMP,A+
A+\cluster_0_4689.BMP,A+
A+\cluster_0_4690.BMP,A+
A+\cluster_0_4692.BMP,A+
A+\cluster_0_4693.BMP,A+
A+\cluster_0_4695.BMP,A+
A+\cluster_0_4700.BMP,A+
A+\cluster_0_4743.BMP,A+
A+\cluster_0_4768.BMP,A+
A+\cluster_0_4780.BMP,A+
A+\cluster_0_4786.BMP,A+
A+\cluster_0_4802.BMP,A+
A+\cluster_0_4803.BMP,A+
A+\cluster_0_4821.BMP,A+
A+\cluster_0_4827.BMP,A+
A+\cluster_0_4831.BMP,A+
A+\cluster_0_4840.BMP,A+
A+\cluster_0_4846.BMP,A+
A+\cluster_0_4855.BMP,A+
A+\cluster_0_486.BMP,A+
A+\cluster_0_4865.BMP,A+
A+\cluster_0_4871.BMP,A+
A+\cluster_0_4881.BMP,A+
A+\cluster_0_4892.BMP,A+
A+\cluster_0_4905.BMP,A+
A+\cluster_0_4910.BMP,A+
A+\cluster_0_4924.BMP,A+
A+\cluster_0_4928.BMP,A+
A+\cluster_0_4949.BMP,A+
A+\cluster_0_4959.BMP,A+
A+\cluster_0_497.BMP,A+
A+\cluster_0_4970.BMP,A+
A+\cluster_0_4973.BMP,A+
A+\cluster_0_4978.BMP,A+
A+\cluster_0_4998.BMP,A+
A+\cluster_0_5004.BMP,A+
A+\cluster_0_502.BMP,A+
A+\cluster_0_5038.BMP,A+
A+\cluster_0_5046.BMP,A+
A+\cluster_0_5051.BMP,A+
A+\cluster_0_5083.BMP,A+
A+\cluster_0_5087.BMP,A+
A+\cluster_0_5095.BMP,A+
A+\cluster_0_5105.BMP,A+
A+\cluster_0_5118.BMP,A+
A+\cluster_0_5123.BMP,A+
A+\cluster_0_5124.BMP,A+
A+\cluster_0_5140.BMP,A+
A+\cluster_0_5170.BMP,A+
A+\cluster_0_5178.BMP,A+
A+\cluster_0_5184.BMP,A+
A+\cluster_0_5187.BMP,A+
A+\cluster_0_5197.BMP,A+
A+\cluster_0_5203.BMP,A+
A+\cluster_0_5209.BMP,A+
A+\cluster_0_5223.BMP,A+
A+\cluster_0_5226.BMP,A+
A+\cluster_0_5235.BMP,A+
A+\cluster_0_5251.BMP,A+
A+\cluster_0_5253.BMP,A+
A+\cluster_0_5256.BMP,A+
A+\cluster_0_5270.BMP,A+
A+\cluster_0_5278.BMP,A+
A+\cluster_0_5286.BMP,A+
A+\cluster_0_5298.BMP,A+
A+\cluster_0_5301.BMP,A+
A+\cluster_0_5302.BMP,A+
A+\cluster_0_5305.BMP,A+
A+\cluster_0_5307.BMP,A+
A+\cluster_0_532.BMP,A+
A+\cluster_0_5343.BMP,A+
A+\cluster_0_535.BMP,A+
A+\cluster_0_5362.BMP,A+
A+\cluster_0_5366.BMP,A+
A+\cluster_0_5369.BMP,A+
A+\cluster_0_5383.BMP,A+
A+\cluster_0_539.BMP,A+
A+\cluster_0_5392.BMP,A+
A+\cluster_0_5395.BMP,A+
A+\cluster_0_5418.BMP,A+
A+\cluster_0_5445.BMP,A+
A+\cluster_0_5448.BMP,A+
A+\cluster_0_5451.BMP,A+
A+\cluster_0_5461.BMP,A+
A+\cluster_0_5466.BMP,A+
A+\cluster_0_5481.BMP,A+
A+\cluster_0_5493.BMP,A+
A+\cluster_0_5505.BMP,A+
A+\cluster_0_551.BMP,A+
A+\cluster_0_5514.BMP,A+
A+\cluster_0_5521.BMP,A+
A+\cluster_0_5567.BMP,A+
A+\cluster_0_5574.BMP,A+
A+\cluster_0_5591.BMP,A+
A+\cluster_0_560.BMP,A+
A+\cluster_0_5600.BMP,A+
A+\cluster_0_5601.BMP,A+
A+\cluster_0_5606.BMP,A+
A+\cluster_0_5616.BMP,A+
A+\cluster_0_5630.BMP,A+
A+\cluster_0_5631.BMP,A+
A+\cluster_0_5636.BMP,A+
A+\cluster_0_564.BMP,A+
A+\cluster_0_5647.BMP,A+
A+\cluster_0_5652.BMP,A+
A+\cluster_0_5653.BMP,A+
A+\cluster_0_5660.BMP,A+
A+\cluster_0_5687.BMP,A+
A+\cluster_0_5691.BMP,A+
A+\cluster_0_5715.BMP,A+
A+\cluster_0_5730.BMP,A+
A+\cluster_0_5734.BMP,A+
A+\cluster_0_5740.BMP,A+
A+\cluster_0_576.BMP,A+
A+\cluster_0_5780.BMP,A+
A+\cluster_0_5786.BMP,A+
A+\cluster_0_5799.BMP,A+
A+\cluster_0_5800.BMP,A+
A+\cluster_0_581.BMP,A+
A+\cluster_0_5812.BMP,A+
A+\cluster_0_5813.BMP,A+
A+\cluster_0_5827.BMP,A+
A+\cluster_0_5860.BMP,A+
A+\cluster_0_5871.BMP,A+
A+\cluster_0_5875.BMP,A+
A+\cluster_0_5880.BMP,A+
A+\cluster_0_5884.BMP,A+
A+\cluster_0_5885.BMP,A+
A+\cluster_0_589.BMP,A+
A+\cluster_0_5903.BMP,A+
A+\cluster_0_5913.BMP,A+
A+\cluster_0_5917.BMP,A+
A+\cluster_0_5918.BMP,A+
A+\cluster_0_5922.BMP,A+
A+\cluster_0_5928.BMP,A+
A+\cluster_0_5946.BMP,A+
A+\cluster_0_5947.BMP,A+
A+\cluster_0_5951.BMP,A+
A+\cluster_0_5978.BMP,A+
A+\cluster_0_5993.BMP,A+
A+\cluster_0_608.BMP,A+
A+\cluster_0_614.BMP,A+
A+\cluster_0_62.BMP,A+
A+\cluster_0_635.BMP,A+
A+\cluster_0_638.BMP,A+
A+\cluster_0_644.BMP,A+
A+\cluster_0_660.BMP,A+
A+\cluster_0_678.BMP,A+
A+\cluster_0_686.BMP,A+
A+\cluster_0_694.BMP,A+
A+\cluster_0_696.BMP,A+
A+\cluster_0_707.BMP,A+
A+\cluster_0_713.BMP,A+
A+\cluster_0_714.BMP,A+
A+\cluster_0_730.BMP,A+
A+\cluster_0_733.BMP,A+
A+\cluster_0_746.BMP,A+
A+\cluster_0_755.BMP,A+
A+\cluster_0_768.BMP,A+
A+\cluster_0_77.BMP,A+
A+\cluster_0_777.BMP,A+
A+\cluster_0_798.BMP,A+
A+\cluster_0_826.BMP,A+
A+\cluster_0_836.BMP,A+
A+\cluster_0_868.BMP,A+
A+\cluster_0_872.BMP,A+
A+\cluster_0_875.BMP,A+
A+\cluster_0_878.BMP,A+
A+\cluster_0_880.BMP,A+
A+\cluster_0_881.BMP,A+
A+\cluster_0_908.BMP,A+
A+\cluster_0_940.BMP,A+
A+\cluster_0_956.BMP,A+
A+\cluster_0_965.BMP,A+
A+\cluster_0_983.BMP,A+
A+\cluster_0_987.BMP,A+
A+\cluster_0_994.BMP,A+
A-\cluster_1_0.BMP,A-
A-\cluster_1_1.BMP,A-
A-\cluster_1_1000.BMP,A-
A-\cluster_1_1007.BMP,A-
A-\cluster_1_1008.BMP,A-
A-\cluster_1_101.BMP,A-
A-\cluster_1_1010.BMP,A-
A-\cluster_1_1011.BMP,A-
A-\cluster_1_1015.BMP,A-
A-\cluster_1_1020.BMP,A-
A-\cluster_1_1022.BMP,A-
A-\cluster_1_1025.BMP,A-
A-\cluster_1_1027.BMP,A-
A-\cluster_1_1031.BMP,A-
A-\cluster_1_1034.BMP,A-
A-\cluster_1_1049.BMP,A-
A-\cluster_1_1058.BMP,A-
A-\cluster_1_1060.BMP,A-
A-\cluster_1_1068.BMP,A-
A-\cluster_1_1072.BMP,A-
A-\cluster_1_1080.BMP,A-
A-\cluster_1_1085.BMP,A-
A-\cluster_1_1086.BMP,A-
A-\cluster_1_1092.BMP,A-
A-\cluster_1_1095.BMP,A-
A-\cluster_1_11.BMP,A-
A-\cluster_1_1106.BMP,A-
A-\cluster_1_1107.BMP,A-
A-\cluster_1_1109.BMP,A-
A-\cluster_1_1110.BMP,A-
A-\cluster_1_1113.BMP,A-
A-\cluster_1_1115.BMP,A-
A-\cluster_1_1117.BMP,A-
A-\cluster_1_1128.BMP,A-
A-\cluster_1_1133.BMP,A-
A-\cluster_1_1139.BMP,A-
A-\cluster_1_1143.BMP,A-
A-\cluster_1_1149.BMP,A-
A-\cluster_1_115.BMP,A-
A-\cluster_1_1155.BMP,A-
A-\cluster_1_1163.BMP,A-
A-\cluster_1_1165.BMP,A-
A-\cluster_1_1172.BMP,A-
A-\cluster_1_1178.BMP,A-
A-\cluster_1_1187.BMP,A-
A-\cluster_1_1194.BMP,A-
A-\cluster_1_1197.BMP,A-
A-\cluster_1_120.BMP,A-
A-\cluster_1_1208.BMP,A-
A-\cluster_1_1211.BMP,A-
A-\cluster_1_1213.BMP,A-
A-\cluster_1_1227.BMP,A-
A-\cluster_1_1230.BMP,A-
A-\cluster_1_1239.BMP,A-
A-\cluster_1_124.BMP,A-
A-\cluster_1_1240.BMP,A-
A-\cluster_1_1241.BMP,A-
A-\cluster_1_1246.BMP,A-
A-\cluster_1_1253.BMP,A-
A-\cluster_1_1269.BMP,A-
A-\cluster_1_1271.BMP,A-
A-\cluster_1_1275.BMP,A-
A-\cluster_1_1287.BMP,A-
A-\cluster_1_1289.BMP,A-
A-\cluster_1_129.BMP,A-
A-\cluster_1_1297.BMP,A-
A-\cluster_1_1305.BMP,A-
A-\cluster_1_131.BMP,A-
A-\cluster_1_1314.BMP,A-
A-\cluster_1_1317.BMP,A-
A-\cluster_1_132.BMP,A-
A-\cluster_1_1324.BMP,A-
A-\cluster_1_1351.BMP,A-
A-\cluster_1_136.BMP,A-
A-\cluster_1_1364.BMP,A-
A-\cluster_1_1368.BMP,A-
A-\cluster_1_1370.BMP,A-
A-\cluster_1_1371.BMP,A-
A-\cluster_1_138.BMP,A-
A-\cluster_1_1383.BMP,A-
A-\cluster_1_1386.BMP,A-
A-\cluster_1_1401.BMP,A-
A-\cluster_1_1403.BMP,A-
A-\cluster_1_1409.BMP,A-
A-\cluster_1_1411.BMP,A-
A-\cluster_1_1416.BMP,A-
A-\cluster_1_1421.BMP,A-
A-\cluster_1_1424.BMP,A-
A-\cluster_1_1429.BMP,A-
A-\cluster_1_1437.BMP,A-
A-\cluster_1_1449.BMP,A-
A-\cluster_1_1451.BMP,A-
A-\cluster_1_1452.BMP,A-
A-\cluster_1_1455.BMP,A-
A-\cluster_1_1466.BMP,A-
A-\cluster_1_1469.BMP,A-
A-\cluster_1_1474.BMP,A-
A-\cluster_1_1479.BMP,A-
A-\cluster_1_1485.BMP,A-
A-\cluster_1_1488.BMP,A-
A-\cluster_1_1506.BMP,A-
A-\cluster_1_1509.BMP,A-
A-\cluster_1_1511.BMP,A-
A-\cluster_1_1516.BMP,A-
A-\cluster_1_1518.BMP,A-
A-\cluster_1_1519.BMP,A-
A-\cluster_1_1525.BMP,A-
A-\cluster_1_1526.BMP,A-
A-\cluster_1_1532.BMP,A-
A-\cluster_1_1539.BMP,A-
A-\cluster_1_1558.BMP,A-
A-\cluster_1_1572.BMP,A-
A-\cluster_1_1583.BMP,A-
A-\cluster_1_1585.BMP,A-
A-\cluster_1_1597.BMP,A-
A-\cluster_1_1606.BMP,A-
A-\cluster_1_1621.BMP,A-
A-\cluster_1_1623.BMP,A-
A-\cluster_1_1624.BMP,A-
A-\cluster_1_1626.BMP,A-
A-\cluster_1_1627.BMP,A-
A-\cluster_1_1630.BMP,A-
A-\cluster_1_1640.BMP,A-
A-\cluster_1_1645.BMP,A-
A-\cluster_1_1648.BMP,A-
A-\cluster_1_1650.BMP,A-
A-\cluster_1_1652.BMP,A-
A-\cluster_1_1663.BMP,A-
A-\cluster_1_1684.BMP,A-
A-\cluster_1_1692.BMP,A-
A-\cluster_1_1694.BMP,A-
A-\cluster_1_1697.BMP,A-
A-\cluster_1_17.BMP,A-
A-\cluster_1_1709.BMP,A-
A-\cluster_1_171.BMP,A-
A-\cluster_1_1717.BMP,A-
A-\cluster_1_1718.BMP,A-
A-\cluster_1_1719.BMP,A-
A-\cluster_1_172.BMP,A-
A-\cluster_1_1721.BMP,A-
A-\cluster_1_1724.BMP,A-
A-\cluster_1_1738.BMP,A-
A-\cluster_1_1744.BMP,A-
A-\cluster_1_1751.BMP,A-
A-\cluster_1_1752.BMP,A-
A-\cluster_1_176.BMP,A-
A-\cluster_1_178.BMP,A-
A-\cluster_1_1789.BMP,A-
A-\cluster_1_1791.BMP,A-
A-\cluster_1_1804.BMP,A-
A-\cluster_1_1806.BMP,A-
A-\cluster_1_1807.BMP,A-
A-\cluster_1_1813.BMP,A-
A-\cluster_1_1814.BMP,A-
A-\cluster_1_1817.BMP,A-
A-\cluster_1_1818.BMP,A-
A-\cluster_1_1826.BMP,A-
A-\cluster_1_1827.BMP,A-
A-\cluster_1_1838.BMP,A-
A-\cluster_1_1839.BMP,A-
A-\cluster_1_1853.BMP,A-
A-\cluster_1_1863.BMP,A-
A-\cluster_1_1875.BMP,A-
A-\cluster_1_1885.BMP,A-
A-\cluster_1_1891.BMP,A-
A-\cluster_1_1892.BMP,A-
A-\cluster_1_1893.BMP,A-
A-\cluster_1_1897.BMP,A-
A-\cluster_1_1905.BMP,A-
A-\cluster_1_1909.BMP,A-
A-\cluster_1_1924.BMP,A-
A-\cluster_1_1925.BMP,A-
A-\cluster_1_1926.BMP,A-
A-\cluster_1_1930.BMP,A-
A-\cluster_1_1934.BMP,A-
A-\cluster_1_1938.BMP,A-
